"","tank","trial.date","pop","food.treat","avgspeed","maxspeed","max.accel","swimming.time","freezing.time","burst.swimming.time","tot.dist.traveled","avg.d.from.center","prop.d.from.center","bday","time.mother.in.food.treat","mother.SL.mm","brood.size","age","PC1","PC2","PC3","PC4","PC5","week.of.measure","mom.sl.2"
"94","32-PSO-L",2019-08-09,"PSO","L",7.04274834531807,99.1489570759471,78.0476146812732,91.5,8.56666666666667,11.6666666666667,786.909748450205,27.6650393815967,0.596830751212982,2019-07-02,8,48,9,38,-0.105975492004765,0.294358288134877,-0.783800865177979,-0.00375043460749166,-0.0105990754607922,6,48
"96","48-PSO-H",2019-08-09,"PSO","H",11.1833583208832,133.170257642824,62.0433451745584,58.1,10.3333333333333,24.8666666666667,1043.4073313384,38.8292686693068,0.83768185793255,2019-07-11,1,NA,5,29,0.956124462556162,1.30201293196295,-0.0693676926965004,-0.289919766366242,0.107975434412495,5,44.9166666666667
"99","58-PSO-H-2ndBrood",2019-08-09,"PSO","H",4.47169847382815,55.1510847211558,32.803296069273,47.4,50.0666666666667,9.9,480.111359473349,41.1712950363718,0.888207481147309,2019-08-03,40,39,26,6,-0.446165696312629,0.377684413069154,0.924734591822776,-0.018169582820288,0.0164639447800944,1,39
"102","04-PSO-H",2019-08-19,"PSO","H",10.8186404037476,121.146698767521,119.28576907696,54.0666666666667,5.66666666666667,22.1333333333333,885.686027720134,36.0170317145313,0.777012163190524,2019-08-07,44,45,40,12,0.735107750648568,0.960526942485787,-0.227977772803102,-0.472862986319313,-0.00505744143309376,2,45
"105","11-PSO-H",2019-08-19,"PSO","H",3.96279948336347,97.2780738067192,64.0762492570849,68.4333333333333,44.4666666666667,7.53333333333333,477.253151113074,33.4498596517372,0.721629367250983,2019-07-09,15,55,20,41,-0.63034510330913,-0.0496305165571377,0.185191506956646,0.0571177576749931,0.0200411270530814,6,55
"108","17-PSO-L",2019-08-19,"PSO","L",13.6278334388473,787.349534166922,520.296235414203,64.7,19.9666666666667,35.6,1638.9741015787,18.8404146367712,0.406453020569646,2019-07-08,14,35,6,42,2.65755478108716,-0.13268603996996,-2.4667242633465,0.211274477030903,0.344369903159128,6,35
"109","19-PSO-H",2019-08-19,"PSO","H",7.09442966801332,694.867550831816,409.376620060816,92.8333333333333,16.1,11.5333333333333,854.642294006672,34.5140891433327,0.74458848464716,2019-07-24,30,42,23,26,1.30018521616432,-0.626754280323599,-0.011813820881473,0.153610700906912,0.425268561558846,4,42
"111","23-PSO-H",2019-08-19,"PSO","H",1.83591169976013,21.3063624963129,15.1838596793123,64.9333333333333,54.9333333333333,0.766666666666667,221.472148047731,22.4881207389497,0.485146679491946,2019-06-29,5,44,13,51,-1.58954383067756,-0.71146361287199,-0.652904033766108,0.0163980657522083,-0.0244106127043055,8,44
"112","24-PSO-H",2019-08-19,"PSO","H",4.7459856578195,468.549584152565,342.615927203189,69.6333333333333,43.2333333333333,7.6,571.733072245322,37.4366438424956,0.80763811535626,2019-08-06,43,50,34,13,0.468193951544945,-0.614582062976184,0.569700961452593,0.0974724768997566,0.159201481689195,2,50
"114","31-PSO-H",2019-08-19,"PSO","H",7.31971440008936,355.679654170479,333.769299913996,92.6333333333333,13.4333333333333,14.5333333333333,882.757556650777,26.3652583443256,0.568789970855266,2019-07-19,11,49,26,31,0.621796214561531,-0.327445514594705,-0.921065220368827,0.098951010779473,-0.0441777473681463,5,49
