"","tanks","treatments","populations","dates","max.veloc","max.accel","net.dist.traveled","birth.date","days_mom_in_food_treat","mom.SL","brood.size","PC1","fry.age.at.test","week.of.measure","mom.sl.2"
"59","53-BON-L","L","BON","7/30/19",1989.45317927845,1213.12409701963,114.359352082621,2019-07-16,22,46,18,0.768282586051206,14,2,46
"60","01-BON-L","L","BON","8/6/19",1499.30309009798,740.611066556395,197.156522065206,2019-07-08,14,NA,22,0.414866691901142,29,5,49.2105263157895
"61","02-BON-L","L","BON","8/6/19",1906.54064448243,1001.03401304936,148.026216966218,2019-06-21,0,NA,12,0.701398978440801,46,7,49.2105263157895
"62","07-BON-H","H","BON","8/6/19",886.030224957923,505.718837685449,83.3557599837899,2019-07-22,28,45,26,-1.25898892575356,15,3,45
"63","09-BON-L","L","BON","8/6/19",689.036969874198,337.924064809129,69.5206230273349,2019-06-21,0,NA,14,-1.73327810020245,46,7,49.2105263157895
"65","12-BON-H","H","BON","8/6/19",1646.98143091273,978.296735905512,29.2616050835607,2019-06-22,0,66,25,-0.453307518029162,45,7,66
"66","13-BON-H","H","BON","8/6/19",1439.60656653082,618.298513744899,99.6100986449537,2019-07-02,8,46,6,-0.523908791915823,35,5,46
"67","14-BON-H","H","BON","8/6/19",1022.38160692282,603.008178065048,101.475011501048,2019-07-24,30,35,11,-0.888052783378477,13,2,35
"69","18-BON-L","L","BON","8/6/19",1371.52547795398,840.540659405717,74.9382298812547,2019-07-08,14,45,7,-0.506904658277351,29,5,45
"70","21-BON-H","H","BON","8/6/19",1580.32446162107,903.197941621073,244.486413854934,2019-06-26,2,NA,8,1.03771487808766,41,6,49.2105263157895
"71","22-BON-H","H","BON","8/6/19",1804.15020337468,1528.30200626407,191.301047164443,2019-06-27,3,67,48,1.56743762696587,40,6,67
"73","27-BON-L","L","BON","8/6/19",2227.55214528335,1159.34332876202,175.428195385219,2019-06-27,3,45,5,1.37473871671128,40,6,45
"74","29-BON-H","H","BON","8/6/19",1537.52019673315,792.410749891473,216.139499157858,2019-07-02,8,46,7,0.653716513301094,35,5,46
"77","35-BON-L","L","BON","8/6/19",1289.34512117915,648.722512032001,167.703093291961,2019-06-30,6,65,33,-0.0994529753942434,37,6,65
"78","41-BON-H","H","BON","8/6/19",1079.56709266944,457.523881958107,88.3953717550214,2019-08-05,42,49,72,-1.1106994995006,1,1,49
"79","43-BON-L","L","BON","8/6/19",1146.25280506859,619.866026716923,114.689971855527,2019-07-28,34,42,17,-0.660572182578946,9,2,42
"81","52-BON-H-2ndBrood","H","BON","8/6/19",1610.08807506938,696.867550404434,142.211139232372,2019-07-29,35,47,38,0.0405750975194819,8,2,47
"83","60-BON-L","L","BON","8/6/19",1915.38751481719,1359.12798053518,189.950832733979,2019-08-05,42,39,15,1.45261491980233,1,1,39
"84","01-BON-L","L","BON","8/20/19",2111.80348623041,1047.30376396614,197.046955802839,2019-07-08,14,NA,22,1.30646105210966,43,7,49.2105263157895
"85","02-BON-L","L","BON","8/20/19",2183.04020657672,702.196745411063,96.078029894715,2019-06-21,0,NA,12,0.190523315556612,60,9,49.2105263157895
"86","06-BON-H","H","BON","8/20/19",2220.42565901241,1225.15969452419,164.442561625049,2019-08-08,28,57,42,1.36303452570781,12,2,57
"87","07-BON-H","H","BON","8/20/19",1166.90835532026,618.094550230528,119.896083596052,2019-07-22,28,45,26,-0.605227433834704,29,5,45
"88","09-BON-L","L","BON","8/20/19",1019.75666552708,659.091292873857,137.234784085685,2019-06-21,0,NA,14,-0.551732567356705,60,9,49.2105263157895
"89","12-BON-H","H","BON","8/20/19",3991.03276638726,2567.14904147016,253.794408693748,2019-06-22,0,66,25,5.16267724965847,59,9,66
"90","13-BON-H","H","BON","8/20/19",3524.36227389017,2645.9571465689,341.081524798752,2019-07-02,8,46,6,5.51737883357669,49,7,46
"91","14-BON-H","H","BON","8/20/19",2722.54274732193,1715.0151734124,243.189213415479,2019-07-24,30,35,11,2.97650592195124,27,4,35
"93","18-BON-L","L","BON","8/20/19",4206.62222267319,2399.31185501147,328.976589418055,2019-07-08,14,45,7,5.72185335678163,43,7,45
"95","21-BON-H","H","BON","8/20/19",3924.75157240011,2086.208924843,402.313659083332,2019-06-26,2,NA,8,5.6652791457019,55,8,49.2105263157895
"96","22-BON-H","H","BON","8/20/19",3759.58727983734,1894.76269185752,441.652264671973,2019-06-27,3,67,48,5.59501690871409,54,8,67
"99","29-BON-H","H","BON","8/21/19",2496.81969961857,940.657058473289,193.639277269452,2019-07-02,8,46,7,1.48648270713828,50,8,46
"102","35-BON-L","L","BON","8/21/19",1898.64354165691,1609.08869991676,167.918726158727,2019-06-30,6,65,33,1.56689068316096,52,8,65
"103","40-BON-L-2ndBrood","L","BON","8/21/19",729.140390856231,516.838897076844,44.2127231913568,2019-08-15,35,37,11,-1.67908582081538,6,1,37
"104","41-BON-H","H","BON","8/21/19",1334.82431635862,887.286253911441,69.9207309547314,2019-08-05,42,49,72,-0.52134266526906,16,3,49
"105","43-BON-L","L","BON","8/21/19",1569.63146589585,1036.63516399879,123.790666697055,2019-07-28,34,42,17,0.268340386715659,24,4,42
"106","47-BON-H","H","BON","8/21/19",1624.86709511134,561.71673076279,147.536664238318,2019-08-12,49,46,17,-0.0663884923514231,9,2,46
"108","52-BON-H-2ndBrood","H","BON","8/21/19",1055.90177228661,450.39448868072,43.1193212352206,2019-07-29,35,47,38,-1.48408203684118,23,4,47
"109","53-BON-L","L","BON","8/21/19",1956.34402548735,792.222544811735,216.7554788746,2019-07-16,22,46,18,1.0197651860476,36,6,46
"114","06-BON-H","H","BON","8/29/19",1458.12847845812,663.473746856081,145.030753792351,2019-08-08,28,57,42,-0.108756752689682,21,3,57
"115","10-BON-H","H","BON","8/29/19",730.26773484933,392.273262695141,58.283450255183,2019-08-20,57,49,17,-1.71874399008165,9,2,49
"116","14-BON-H","H","BON","8/29/19",1889.98160406888,1204.51076435488,133.037102817649,2019-07-24,30,35,11,0.814308904502722,36,6,35
"117","18-BON-L","L","BON","8/29/19",1880.40504284388,788.584510102611,104.201815994519,2019-07-08,14,45,7,0.0934877960389176,52,8,45
"120","40-BON-L-2ndBrood","L","BON","8/29/19",1232.96799528397,649.672229217182,104.658851675927,2019-08-15,35,37,11,-0.626692975402381,14,2,37
"121","41-BON-H","H","BON","8/29/19",1262.30166344671,599.455243248796,104.515848225667,2019-08-05,42,49,72,-0.661996946071037,24,4,49
"122","43-BON-L","L","BON","8/29/19",1708.08582294585,654.835522064055,244.422327238234,2019-07-28,34,42,17,0.853052803596174,32,5,42
"123","47-BON-H","H","BON","8/30/19",1623.61061737179,523.651829043466,172.19965596044,2019-08-12,49,46,17,0.0750512747987638,18,3,46
"125","52-BON-H-2ndBrood","H","BON","8/30/19",1443.5482772248,1091.26100023322,157.99811450217,2019-07-29,35,47,38,0.484535634226015,32,5,47
"130","60-BON-L","L","BON","8/30/19",1049.18634962131,366.192256164213,134.714210615598,2019-08-05,42,39,15,-0.892784374131532,25,4,39
"133","10-BON-H","H","BON","9/13/19",1716.12777761112,1351.95599821288,93.2629285534811,2019-08-20,57,49,17,0.536400490774063,24,4,49
"134","18-BON-L","L","BON","9/13/19",2680.08728073443,1283.86456778688,250.331024689145,2019-07-08,14,45,7,2.48299241289002,67,10,45
"138","41-BON-H","H","BON","9/13/19",1525.57421282481,652.068896587633,56.1821964637998,2019-08-05,42,49,72,-0.740085643338633,39,6,49
"139","47-BON-H","H","BON","9/13/19",1380.68150967631,1011.04390632378,181.757227719295,2019-08-12,49,46,17,0.515929186300239,32,5,46
"140","52-BON-H-2ndBrood","H","BON","9/13/19",1288.82442377101,811.153890488047,145.371384679563,2019-07-29,35,47,38,-0.0772314059790156,46,7,47
"144","60-BON-L","L","BON","9/13/19",1855.45117353754,1271.11651950475,242.039798288617,2019-08-05,42,39,15,1.69285428691704,39,6,39
"146","10-BON-H","H","BON","9/20/19",531.403446833757,191.216420537942,72.0826561545434,2019-08-20,57,49,17,-2.02382085765684,31,5,49
"150","47-BON-H","H","BON","9/20/19",1516.86286461142,1211.93309979002,83.2881493160549,2019-08-12,49,46,17,0.122451176414946,39,6,46
"155","10-BON-H","H","BON","9/26/19",1476.04520090782,1263.84821058527,152.395988372408,2019-08-20,57,49,17,0.674596652190958,37,6,49
"160","40-BON-L-2ndBrood","L","BON","9/26/19",1812.47787637443,785.652034261031,154.59234305443,2019-08-15,35,37,11,0.414780629306152,42,6,37
"161","47-BON-H","H","BON","9/26/19",1742.49416645463,698.784307037095,220.776670570983,2019-08-12,49,46,17,0.754951246308564,45,7,46
